nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116201,756096,América
Uruguay,3426260,176215,América
Paraguay,7132530,406752,América
Perú,33715471,1285216,América
Colombia,51874024,1141748,América
Venezuela,28435943,916445,América
México,130262216,1964375,América
Estados Unidos,333287557,9833517,América
Canadá,38008005,9984670,América
Bolivia,12224110,1098581,América
Ecuador,18001000,276841,América
Guatemala,18214697,108889,América
Honduras,10593798,112492,América
El Salvador,6520675,21041,América
Nicaragua,7140000,130373,América
Costa Rica,5230000,51100,América
Panamá,4511420,75417,América
Cuba,11194400,109884,América
República Dominicana,11230000,48671,América
Haití,11800000,27750,América
Puerto Rico,3226000,9104,América
Jamaica,2828000,10991,América
Trinidad y Tobago,1531000,5130,América
Belice,442000,22966,América
Bahamas,412000,13880,América
Barbados,281000,430,América
Santa Lucía,180000,616,América
Granada,126000,344,América
San Vicente y las Granadinas,103000,389,América
Antigua y Barbuda,93900,442,América
Dominica,72400,751,América
San Cristóbal y Nieves,47300,261,América
España,47351567,505990,Europa
Francia,67848156,643801,Europa
Alemania,83149300,357022,Europa
Italia,58983122,301338,Europa
Reino Unido,67146000,243610,Europa
Portugal,10305564,92090,Europa
Noruega,5474363,385207,Europa
Suecia,10508447,450295,Europa
Finlandia,5545475,338424,Europa
Rusia,144444359,17098246,Europa
Irlanda,5242000,70273,Europa
Países Bajos,17700000,41543,Europa
Bélgica,11670000,30528,Europa
Suiza,8877000,41285,Europa
Austria,9017000,83879,Europa
Dinamarca,5949000,43094,Europa
Polonia,37650000,312696,Europa
Chequia,10730000,78867,Europa
Eslovaquia,5456000,49035,Europa
Hungría,9604000,93028,Europa
Rumania,19070000,238397,Europa
Bulgaria,6268000,110994,Europa
Grecia,10350000,131957,Europa
Croacia,3881000,56594,Europa
Eslovenia,2110000,20273,Europa
Serbia,6628000,88361,Europa
Bosnia y Herzegovina,3261000,51197,Europa
Montenegro,619000,13812,Europa
Kosovo,1835000,10887,Europa
Albania,2806000,28748,Europa
Islandia,388000,103000,Europa
Estonia,1331000,45227,Europa
Letonia,1856000,64589,Europa
Lituania,2887000,65300,Europa
Moldavia,2605000,33843,Europa
